지역코드	지역명	방향	각도	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월	연간합
07	대전	북동	30˚	51.98	71.55	115.81	174.11	185.98	196.67	153.22	146.11	143.16	100.67	61.75	45.42	1057.2
07	대전	북동	45˚	39.14	55.63	93.62	145.26	162.27	174.73	136.73	127.57	119.67	80.72	48.27	34.01	890.2
07	대전	북동	60˚	34.55	47.35	78.06	120.57	136.95	149.35	117.50	110.31	100.14	68.55	42.34	30.20	757.4
07	대전	북동	90˚	33.97	41.40	61.26	89.45	97.86	107.86	85.76	84.69	75.73	56.25	38.65	30.09	586.9
07	대전	북	30˚	26.67	48.75	98.78	163.01	178.59	194.83	150.44	142.23	125.73	76.72	38.88	22.53	926.7
07	대전	북	45˚	24.76	29.73	60.48	122.58	149.56	170.32	131.69	118.74	87.91	44.68	31.83	23.82	729.0
07	대전	북	60˚	26.93	31.60	43.38	77.35	113.51	137.53	106.90	90.02	55.78	43.39	33.30	25.58	574.7
07	대전	북	90˚	31.03	34.52	45.24	59.33	66.82	79.78	67.31	63.38	53.96	44.34	35.07	28.71	445.5
08	대구	수평	0˚	114.68	117.55	175.84	204.17	235.86	221.22	170.41	153.54	169.17	144.25	107.03	104.39	1401.8
08	대구	남	30˚	190.69	169.34	216.58	220.85	233.27	212.20	169.78	164.12	195.45	191.69	163.35	180.51	1685.8
08	대구	남	45˚	213.23	181.60	219.26	211.72	213.86	192.15	156.98	157.06	193.18	200.23	178.46	203.99	1695.7
08	대구	남	60˚	223.15	183.42	209.63	191.52	184.06	163.26	136.80	142.22	180.64	197.63	183.29	215.38	1614.5
08	대구	남	90˚	203.33	156.01	156.82	123.68	103.64	91.18	82.36	93.79	128.68	160.46	161.52	199.65	1212.5
08	대구	남동	30˚	166.14	153.80	203.29	214.80	228.40	215.13	169.60	160.62	187.31	172.63	144.46	157.73	1588.0
08	대구	남동	45˚	178.80	160.23	201.86	205.69	210.59	198.85	158.40	153.42	183.17	174.35	152.00	171.78	1569.7
08	대구	남동	60˚	181.81	158.37	191.61	188.69	185.65	175.65	142.02	140.42	171.06	167.30	151.08	176.27	1482.4
08	대구	남동	90˚	157.31	130.70	145.77	135.74	124.60	118.39	99.53	101.90	126.90	131.46	126.73	155.82	1135.2
08	대구	남서	30˚	165.86	151.06	200.78	213.22	233.15	211.33	169.44	161.90	185.30	179.30	145.58	153.78	1586.0
08	대구	남서	45˚	178.15	156.17	198.30	203.31	216.33	193.86	158.66	155.37	180.41	183.78	153.81	166.66	1566.9
08	대구	남서	60˚	181.05	153.58	187.49	185.73	191.53	170.10	142.36	142.84	167.86	178.62	153.45	170.22	1479.2
08	대구	남서	90˚	156.70	125.55	141.73	133.01	129.41	114.64	99.48	103.91	124.32	143.01	128.92	148.47	1131.5
08	대구	동	30˚	111.78	115.71	168.76	194.64	217.92	213.72	165.88	150.61	164.25	135.76	103.22	103.23	1348.5
08	대구	동	45˚	107.60	111.18	158.80	181.83	198.93	198.84	155.15	141.55	154.41	127.49	98.48	99.86	1267.0
08	대구	동	60˚	101.92	104.87	145.77	165.46	176.75	179.13	141.03	129.38	141.16	117.16	91.76	95.59	1161.5
08	대구	동	90˚	84.92	85.38	112.66	126.05	129.07	132.68	106.48	99.70	108.54	92.55	73.36	80.04	899.5
08	대구	서	30˚	111.21	112.59	165.52	191.99	224.02	207.98	165.82	152.35	161.91	144.33	104.38	99.38	1346.0
08	대구	서	45˚	107.32	107.44	154.82	178.53	206.55	191.38	155.27	144.18	151.77	138.14	99.65	95.28	1264.7
08	대구	서	60˚	101.95	100.52	141.46	161.85	185.00	170.95	140.83	132.24	138.45	128.76	92.77	89.54	1158.0
08	대구	서	90˚	84.34	80.94	109.22	122.34	135.99	126.10	106.25	100.84	105.35	101.96	75.52	74.63	894.1
08	대구	북서	30˚	57.42	72.66	125.31	165.20	208.48	201.42	158.72	138.83	134.47	103.43	62.44	47.65	1079.4
08	대구	북서	45˚	42.64	57.18	100.58	139.05	180.94	177.68	142.19	123.62	113.55	84.71	48.90	34.91	911.4
08	대구	북서	60˚	37.24	48.66	83.09	116.03	151.70	150.75	123.03	107.38	95.91	71.93	42.75	30.84	774.9
08	대구	북서	90˚	36.60	42.14	64.64	85.75	106.69	106.98	90.25	80.63	72.78	57.93	38.42	32.15	596.0
08	대구	북동	30˚	57.52	74.43	127.43	167.20	203.78	206.00	158.91	137.78	136.22	97.70	62.12	49.35	1080.9
08	대구	북동	45˚	42.79	59.04	102.79	141.69	174.58	183.92	142.30	121.96	115.25	79.11	48.10	36.33	912.4
08	대구	북동	60˚	37.62	50.49	84.87	118.88	144.99	157.63	123.35	105.77	97.61	67.82	41.62	32.15	777.1
08	대구	북동	90˚	36.80	43.26	65.48	88.27	101.71	112.52	90.53	81.03	74.71	56.18	37.55	32.46	599.8
08	대구	북	30˚	28.49	50.30	105.36	153.84	200.75	201.95	156.57	132.83	122.08	78.88	39.60	22.15	945.8
08	대구	북	45˚	25.38	30.89	62.59	116.62	167.27	176.47	137.63	112.46	89.39	48.94	31.86	23.26	748.8
08	대구	북	60˚	28.05	32.60	42.05	74.77	125.99	142.51	112.22	87.12	59.63	47.25	33.13	25.54	593.5
08	대구	북	90˚	33.21	35.20	45.53	56.70	71.39	81.62	69.47	62.57	55.34	47.08	34.47	30.16	455.3
09	전주	수평	0˚	98.06	115.12	167.44	204.56	205.01	191.71	179.92	169.62	164.33	140.40	101.90	75.04	1324.8
09	전주	남	30˚	155.68	161.48	203.42	219.67	203.75	187.28	178.69	177.61	191.87	182.87	152.35	119.09	1557.9
09	전주	남	45˚	172.08	171.74	205.27	210.32	187.50	171.38	165.00	168.00	190.67	189.75	165.58	131.87	1554.0
09	전주	남	60˚	178.52	172.26	195.93	190.30	162.06	147.49	143.78	149.98	179.35	186.20	169.43	137.17	1468.4
09	전주	남	90˚	160.46	144.56	147.01	123.80	92.87	86.23	86.66	94.58	129.92	149.51	148.56	124.43	1085.4
09	전주	남동	30˚	136.05	146.47	192.19	214.02	201.66	185.38	177.42	170.74	181.44	170.31	134.30	104.02	1470.7
09	전주	남동	45˚	144.70	151.32	190.58	204.21	186.99	171.18	165.35	160.36	177.22	172.54	140.15	110.58	1442.0
09	전주	남동	60˚	145.40	148.21	180.13	186.74	166.05	151.63	147.74	144.34	165.95	166.41	138.65	111.42	1352.3
09	전주	남동	90˚	123.37	120.56	136.57	134.36	113.30	105.02	104.81	101.99	124.55	131.44	114.93	95.40	1026.1
09	전주	남서	30˚	138.21	145.86	188.59	217.14	202.06	190.52	180.55	178.37	185.98	166.00	137.84	106.32	1487.8
