지역코드	지역명	방향	각도	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월
17	안동	서	90˚	0.21	0.22	0.30	0.38	0.41	0.38	0.35	0.33	0.33	0.08	0.06	0.28
17	안동	북서	90˚	0.00	0.00	0.00	0.61	0.77	0.74	0.64	0.53	0.28	0.00	0.00	0.00
17	안동	북동	90˚	0.00	0.00	0.01	0.65	0.74	0.74	0.68	0.62	0.46	0.00	0.00	0.00
17	안동	북	90˚	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
18	수원	남	90˚	0.75	0.67	0.44	0.72	0.64	0.54	0.58	0.63	0.72	0.56	0.66	0.72
18	수원	남동	90˚	0.63	0.59	0.44	0.58	0.54	0.48	0.49	0.51	0.58	0.48	0.55	0.63
18	수원	남서	90˚	0.69	0.60	0.47	0.59	0.54	0.49	0.48	0.52	0.58	0.50	0.57	0.65
18	수원	동	90˚	0.24	0.34	0.31	0.39	0.40	0.38	0.36	0.34	0.36	0.25	0.19	0.26
18	수원	서	90˚	0.37	0.36	0.31	0.41	0.40	0.38	0.37	0.35	0.38	0.24	0.29	0.33
18	수원	북서	90˚	0.00	0.00	0.01	0.67	0.76	0.75	0.68	0.61	0.43	0.00	0.00	0.00
18	수원	북동	90˚	0.00	0.00	0.00	0.62	0.75	0.75	0.68	0.58	0.41	0.00	0.00	0.00
18	수원	북	90˚	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
19	대관	남	90˚	0.65	0.62	0.44	0.72	0.64	0.53	0.53	0.60	0.68	0.52	0.62	0.67
19	대관	남동	90˚	0.49	0.51	0.40	0.59	0.54	0.48	0.46	0.51	0.53	0.45	0.50	0.55
19	대관	남서	90˚	0.52	0.52	0.47	0.60	0.53	0.48	0.44	0.50	0.55	0.50	0.51	0.58
19	대관	동	90˚	0.19	0.28	0.18	0.41	0.40	0.38	0.35	0.34	0.34	0.24	0.20	0.22
19	대관	서	90˚	0.22	0.28	0.28	0.41	0.40	0.37	0.33	0.33	0.35	0.25	0.21	0.28
19	대관	북서	90˚	0.00	0.00	0.00	0.68	0.75	0.74	0.61	0.52	0.38	0.00	0.00	0.00
19	대관	북동	90˚	0.00	0.00	0.00	0.69	0.76	0.79	0.67	0.54	0.31	0.00	0.00	0.00
19	대관	북	90˚	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
20	추풍	남	90˚	0.61	0.57	0.46	0.69	0.63	0.53	0.55	0.62	0.70	0.48	0.60	0.62
20	추풍	남동	90˚	0.45	0.41	0.46	0.58	0.52	0.46	0.49	0.50	0.55	0.38	0.44	0.48
20	추풍	남서	90˚	0.48	0.51	0.48	0.56	0.52	0.48	0.47	0.50	0.56	0.40	0.54	0.50
20	추풍	동	90˚	0.11	0.18	0.26	0.39	0.38	0.36	0.38	0.35	0.34	0.15	0.13	0.13
20	추풍	서	90˚	0.16	0.20	0.29	0.36	0.38	0.38	0.35	0.34	0.35	0.15	0.18	0.16
20	추풍	북서	90˚	0.00	0.00	0.00	0.51	0.72	0.76	0.67	0.56	0.39	0.00	0.00	0.00
20	추풍	북동	90˚	0.00	0.00	0.00	0.60	0.72	0.71	0.77	0.59	0.38	0.00	0.00	0.00
20	추풍	북	90˚	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
