지역코드	지역명	속도	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월
09	전주	0.5	156	121	94	65	84	87	88	96	120	136	138	159
09	전주	1	166	106	131	141	136	147	149	135	181	163	200	150
09	전주	1.5	86	71	89	110	104	124	127	119	145	104	113	102
09	전주	2	79	85	80	75	92	80	112	89	91	77	85	70
09	전주	2.5	68	67	100	65	78	79	79	95	76	64	58	65
09	전주	3	51	51	65	68	53	70	72	71	48	48	45	47
09	전주	3.5	34	48	66	54	51	49	36	40	27	27	23	31
09	전주	4	29	27	41	44	43	37	32	24	12	18	18	39
09	전주	4.5	18	18	22	35	31	12	5	15	5	14	8	23
09	전주	5	8	12	21	20	17	15	8	13	3	2	8	11
09	전주	5.5	7	13	7	14	7	4	3	7	1	5	3	1
09	전주	6	1	8	2	7	5	1	5	2	0	2	4	1
09	전주	6.5	0	2	3	5	1	0	5	4	0	2	2	1
09	전주	7	0	1	1	1	2	0	1	3	0	2	0	0
09	전주	7.5	0	1	1	2	1	0	1	1	0	0	1	0
09	전주	8	0	0	0	0	1	0	1	1	0	0	0	0
09	전주	8.5	0	1	0	0	0	0	2	2	0	0	0	0
09	전주	9	0	0	0	0	0	0	0	0	0	0	0	0
09	전주	9.5	0	0	0	0	0	0	0	1	0	0	0	0
09	전주	10	0	0	0	0	0	0	0	1	0	0	0	0
09	전주	10.5	0	0	0	0	0	0	0	0	0	0	0	0
09	전주	11	0	0	0	0	0	0	0	2	0	0	0	0
09	전주	11.5	0	0	0	0	0	0	0	0	0	0	0	0
09	전주	12	0	0	0	0	0	0	0	0	0	0	0	0
09	전주	12.5	0	0	0	0	0	0	0	0	0	0	0	0
09	전주	13	0	0	0	0	0	0	0	1	0	0	0	0
09	전주	13.5	0	0	0	0	0	0	0	0	0	0	0	0
09	전주	14	0	0	0	0	0	0	0	0	0	0	0	0
09	전주	14.5	0	0	0	0	0	0	0	0	0	0	0	0
09	전주	15	0	0	0	0	0	0	0	0	0	0	0	0
09	전주	15.5	0	0	0	0	0	0	0	1	0	0	0	0
09	전주	16	0	0	0	0	0	0	0	0	0	0	0	0
10	광주	0	28	12	16	28	16	29	18	29	18	44	28	63
10	광주	0.5	97	96	90	67	92	74	77	88	77	109	146	119
10	광주	1	155	117	108	134	120	117	123	132	151	180	167	144
10	광주	1.5	145	104	90	111	118	132	128	113	151	129	128	111
10	광주	2	97	101	126	108	97	98	84	83	107	96	82	93
10	광주	2.5	89	64	99	86	94	92	87	71	93	72	55	59
10	광주	3	61	66	71	71	62	67	74	49	51	41	50	62
10	광주	3.5	38	48	48	39	53	54	50	56	28	33	31	41
10	광주	4	20	23	32	29	33	29	40	45	23	16	19	21
10	광주	4.5	5	19	26	19	27	16	25	26	8	10	8	14
10	광주	5	2	12	12	13	12	9	17	19	6	3	2	3
10	광주	5.5	4	5	14	8	9	3	5	18	3	4	3	6
10	광주	6	2	2	6	4	5	0	6	5	3	4	1	3
10	광주	6.5	0	2	3	1	1	0	2	3	1	1	0	3
10	광주	7	0	0	2	1	3	0	2	1	0	0	0	1
10	광주	7.5	0	1	1	1	1	0	1	4	0	2	0	1
10	광주	8	1	0	0	0	1	0	1	2	0	0	0	0
10	광주	8.5	0	0	0	0	0	0	1	0	0	0	0	0
10	광주	9	0	0	0	0	0	0	1	0	0	0	0	0
10	광주	9.5	0	0	0	0	0	0	1	0	0	0	0	0
10	광주	10	0	0	0	0	0	0	0	0	0	0	0	0
10	광주	10.5	0	0	0	0	0	0	1	0	0	0	0	0
10	광주	11	0	0	0	0	0	0	0	0	0	0	0	0
10	광주	11.5	0	0	0	0	0	0	0	0	0	0	0	0
10	광주	12	0	0	0	0	0	0	0	0	0	0	0	0
10	광주	12.5	0	0	0	0	0	0	0	0	0	0	0	0
10	광주	13	0	0	0	0	0	0	0	0	0	0	0	0
10	광주	13.5	0	0	0	0	0	0	0	0	0	0	0	0
10	광주	14	0	0	0	0	0	0	0	0	0	0	0	0
10	광주	14.5	0	0	0	0	0	0	0	0	0	0	0	0
10	광주	15	0	0	0	0	0	0	0	0	0	0	0	0
10	광주	15.5	0	0	0	0	0	0	0	0	0	0	0	0
10	광주	16	0	0	0	0	0	0	0	0	0	0	0	0
11	부산	0	3	16	10	8	7	8	2	5	16	14	9	6
11	부산	0.5	18	43	17	23	25	17	28	12	43	41	45	35
11	부산	1	42	51	33	29	63	62	48	37	65	68	43	52
11	부산	1.5	59	58	53	58	87	86	83	67	65	67	75	64
11	부산	2	85	57	58	57	69	92	78	67	78	89	77	70
11	부산	2.5	99	63	88	84	96	89	70	94	59	100	78	85
11	부산	3	99	72	90	83	80	77	75	110	76	100	72	70
11	부산	3.5	91	58	77	71	61	67	70	95	73	97	73	77
11	부산	4	70	71	93	52	57	70	69	60	74	63	78	73
