지역코드	지역명	방향	각도	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월
01	춘천	북	60˚	12.79	2.35	12.16	40.51	47.68	51.44	50.59	44.70	24.33	1.84	0.00	0.00
01	춘천	북	90˚	12.79	2.36	2.70	9.77	17.22	18.08	18.46	12.44	3.72	1.84	0.00	0.00
02	강릉	수평	0˚	26.40	32.48	39.90	48.54	54.48	57.09	54.54	52.22	43.73	35.29	28.79	24.37
02	강릉	남	30˚	25.79	31.89	39.69	49.12	55.79	58.94	55.97	53.18	43.74	34.84	28.15	23.79
02	강릉	남	45˚	25.63	31.71	39.60	49.38	56.45	59.91	56.73	53.62	43.74	34.68	27.97	23.65
02	강릉	남	60˚	25.50	31.54	39.52	49.64	57.22	61.08	57.65	54.05	43.75	34.54	27.82	23.54
02	강릉	남	90˚	25.22	31.15	39.26	50.66	60.38	65.86	61.89	55.83	43.74	34.16	27.48	23.31
02	강릉	남동	30˚	25.96	31.91	39.58	49.02	55.20	58.10	56.04	53.34	44.08	35.06	28.22	24.05
02	강릉	남동	45˚	25.78	31.63	39.29	48.74	54.85	57.79	56.15	53.22	43.91	34.85	28.00	23.95
02	강릉	남동	60˚	25.59	31.27	38.71	47.93	53.82	56.67	55.30	52.47	43.44	34.57	27.79	23.82
02	강릉	남동	90˚	25.11	30.16	36.65	44.03	47.91	49.46	49.37	48.00	41.15	33.31	27.05	23.46
02	강릉	남서	30˚	25.82	31.94	39.57	48.13	54.86	57.72	54.45	51.57	42.99	34.65	28.21	23.72
02	강릉	남서	45˚	25.63	31.71	39.28	47.59	54.45	57.29	53.81	50.84	42.47	34.28	27.94	23.51
02	강릉	남서	60˚	25.41	31.36	38.70	46.62	53.42	56.11	52.58	49.63	41.69	33.87	27.68	23.32
02	강릉	남서	90˚	24.87	30.29	36.62	42.82	47.99	49.56	46.88	44.70	38.73	32.46	26.89	22.89
02	강릉	동	30˚	25.79	31.60	39.03	48.14	53.87	56.52	54.98	52.51	43.74	34.83	27.96	23.99
02	강릉	동	45˚	24.82	30.26	37.54	46.39	52.11	54.73	53.65	51.01	42.43	33.60	26.86	23.06
02	강릉	동	60˚	23.58	28.62	35.58	43.60	49.08	51.58	50.85	48.22	40.45	31.94	25.58	21.96
02	강릉	동	90˚	20.79	24.60	30.55	35.61	40.13	41.69	42.26	39.09	34.84	27.84	22.45	19.42
02	강릉	서	30˚	25.59	31.60	38.98	46.93	53.57	56.01	52.88	50.01	42.04	34.15	27.84	23.36
02	강릉	서	45˚	24.56	30.35	37.47	45.03	51.85	54.18	51.01	47.86	40.23	32.80	26.63	22.43
02	강릉	서	60˚	23.37	28.83	35.46	42.47	49.13	51.21	48.26	44.91	37.82	31.10	25.07	21.33
02	강릉	서	90˚	20.54	25.12	30.39	35.45	41.16	42.14	41.09	36.60	31.82	27.17	21.71	19.03
02	강릉	북서	30˚	25.11	31.53	39.02	46.76	53.09	55.24	52.48	49.78	42.08	34.17	27.46	22.49
02	강릉	북서	45˚	20.40	27.60	35.68	43.92	51.21	53.40	50.48	46.92	38.73	30.56	22.52	17.52
02	강릉	북서	60˚	15.50	22.72	30.53	38.72	46.99	49.34	46.52	41.58	33.14	25.69	17.17	13.31
02	강릉	북서	90˚	9.48	16.02	21.41	27.42	34.62	35.54	35.82	28.50	23.71	17.90	10.59	8.65
02	강릉	북동	30˚	25.32	31.54	39.11	47.90	53.27	55.65	54.07	52.09	43.77	34.89	27.66	23.14
02	강릉	북동	45˚	20.83	27.38	35.83	45.23	51.39	53.93	52.92	50.13	41.27	31.28	23.24	18.13
02	강릉	북동	60˚	16.07	21.86	30.76	39.38	46.63	49.66	48.85	44.85	36.43	26.06	17.51	12.52
02	강릉	북동	90˚	9.42	14.32	21.65	26.49	32.86	35.17	35.20	29.94	25.40	17.18	11.66	6.17
02	강릉	북	30˚	31.86	35.43	40.55	47.49	52.75	54.81	52.76	50.75	43.70	37.21	32.92	30.17
02	강릉	북	45˚	0.00	0.00	42.03	46.00	51.12	52.93	51.18	49.06	43.60	42.99	0.00	0.00
02	강릉	북	60˚	0.00	0.00	13.01	36.15	47.11	49.20	47.71	42.83	24.05	0.00	0.00	0.00
02	강릉	북	90˚	0.00	0.00	2.35	7.75	16.84	19.35	18.16	11.70	4.14	0.00	0.00	0.00
