지역코드	지역명	방향	각도	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월	연간합
13	서산	북	90˚	9554.42	10351.92	12106.79	12798.89	15204.51	16084.81	16162.78	14704.77	12655.99	10939.92	9821.14	8632.29	108891.56
14	진주	수평	0˚	34444.33	39352.48	47695.07	51149.56	50178.09	45668.20	46060.89	44079.41	45541.41	41425.78	34342.03	32398.10	374103.30
14	진주	남	30˚	57558.95	57379.59	58242.64	55089.86	49233.25	43817.31	45202.24	45603.00	53135.68	55504.16	53709.18	56186.71	460143.58
14	진주	남	45˚	64420.97	61675.41	58734.33	52590.39	45008.56	39616.88	41394.05	42860.29	52628.52	58027.96	59022.95	63494.74	466436.18
14	진주	남	60˚	67452.89	62360.36	55920.42	47257.04	38578.87	33544.10	35614.33	37967.55	49230.58	57240.87	60870.16	67006.27	447032.72
14	진주	남	90˚	61475.07	52960.19	41350.63	29688.42	21409.88	18456.25	20375.59	23252.32	34866.25	46170.56	53906.19	61957.67	339507.40
14	진주	남동	30˚	49242.17	51521.59	53978.88	53554.88	49097.81	43313.35	45759.44	46043.93	49745.33	49537.43	46522.08	47617.92	427590.69
14	진주	남동	45˚	52801.40	53708.16	53097.11	50837.99	45277.23	39511.27	42611.15	43764.51	48321.90	49842.52	48948.56	51383.95	423228.81
14	진주	남동	60˚	53543.40	53118.47	49930.72	46207.23	39722.10	34466.11	37762.57	39785.16	44886.91	47656.18	48649.19	52397.27	399799.66
14	진주	남동	90˚	46065.12	43928.37	37355.13	32584.95	26127.24	22893.56	25608.19	28255.69	32919.45	37030.27	40775.11	45694.56	305649.81
14	진주	남서	30˚	50634.43	51100.15	54430.08	52733.33	48492.73	44456.85	44297.59	43508.73	50763.23	51525.53	47996.13	49090.43	429855.73
14	진주	남서	45˚	54635.25	52975.52	53695.35	49893.40	44507.33	40951.82	40687.39	40484.54	49673.97	52667.02	51149.87	53542.11	426724.19
14	진주	남서	60˚	55682.48	52153.53	50625.15	45275.49	38928.83	35978.15	35811.74	36262.42	46416.58	51021.49	51396.06	54986.29	404523.78
14	진주	남서	90˚	48520.03	42750.78	38091.83	31806.61	25569.72	24048.29	24130.05	25317.87	34542.75	40386.28	43655.75	48373.33	311536.48
14	진주	동	30˚	32661.36	38100.39	44487.15	48091.87	47306.29	42499.56	44840.12	43632.29	42537.51	37952.96	32007.69	30397.00	353772.05
14	진주	동	45˚	31349.02	36632.30	41380.41	44400.56	43225.75	38808.29	41660.35	41026.83	39509.62	35168.09	30284.95	29096.85	330382.39
14	진주	동	60˚	29716.27	34617.47	37628.57	40038.49	38205.16	34379.74	37359.11	37455.10	35798.25	31966.15	28147.10	27646.96	301427.85
14	진주	동	90˚	24827.36	28226.37	28669.14	30177.90	27504.05	24957.93	27522.67	28360.41	27349.39	24775.46	22710.22	22968.50	232071.77
14	진주	서	30˚	34002.20	37541.19	45012.81	46995.12	46358.31	44119.09	42839.82	40203.21	43859.58	40463.90	33859.53	32116.57	355849.30
14	진주	서	45˚	33116.94	35797.22	42050.44	43227.34	42092.47	40859.11	39175.17	36780.16	41196.99	38279.09	32543.29	31226.40	333155.17
14	진주	서	60˚	31828.95	33521.51	38374.30	38782.18	37043.66	36575.97	34810.06	32974.80	37708.31	35348.37	30499.73	29757.38	304556.43
14	진주	서	90˚	26745.28	27395.67	29414.49	28605.18	26293.05	26754.42	25448.23	24594.31	28877.25	27652.32	25069.21	25028.36	234881.23
14	진주	북서	30˚	17187.83	23138.33	34049.47	40054.62	43525.43	42577.29	41081.35	36735.50	35262.94	27844.97	18816.95	14992.13	274251.46
14	진주	북서	45˚	12719.24	17655.13	27219.32	32947.57	37332.07	37942.28	35814.67	31207.93	29222.86	21798.06	13981.88	10728.09	225565.97
14	진주	북서	60˚	10942.85	14872.25	22216.29	26756.45	30745.72	32332.99	30133.76	26147.02	24303.26	17875.69	11805.64	9149.71	188061.96
14	진주	북서	90˚	10545.71	12955.98	16771.06	18924.21	20771.10	22643.75	21278.41	19105.91	18161.77	14228.93	10819.50	9327.16	142850.90
14	진주	북동	30˚	16585.78	23540.95	33696.81	40952.58	44322.98	41326.64	42543.91	39339.26	34347.81	26166.59	17855.60	14290.72	274054.86
14	진주	북동	45˚	12162.05	18092.18	26783.61	33958.56	38332.76	36243.77	37826.68	34509.06	28160.95	20128.10	13070.87	10161.62	226239.02
14	진주	북동	60˚	10475.01	15015.51	21782.37	27915.23	31787.61	30461.92	32201.42	29491.03	23301.49	16515.95	11031.62	8849.54	189262.39
14	진주	북동	90˚	10285.09	12953.50	16453.68	20370.02	21926.19	21257.86	22733.97	21494.16	17624.35	13516.45	10367.43	9105.13	144773.82
14	진주	북	30˚	7850.58	14939.08	28397.03	37343.37	42869.52	41590.76	41144.69	36429.36	30736.91	20506.18	10258.58	6053.59	232727.08
14	진주	북	45˚	6784.42	7536.41	16721.86	27412.11	35832.19	36278.38	35488.91	29774.36	20946.39	10771.75	7263.66	6072.98	176469.02
14	진주	북	60˚	7607.84	8325.20	10517.02	16344.47	27130.24	29218.33	28168.70	21797.07	12637.24	10204.21	7902.92	6830.43	136706.77
14	진주	북	90˚	9327.86	9990.24	11495.01	11941.93	15046.15	16306.48	16326.79	14078.67	12467.87	11047.74	9191.77	8496.91	106496.67
15	포항	수평	0˚	33931.08	38157.09	44176.23	45896.24	51281.23	45389.53	44796.50	44234.96	37966.23	36022.28	31045.63	29601.10	352384.13
15	포항	남	30˚	57905.74	56053.88	54958.41	49769.30	50219.74	43446.30	43886.63	46110.82	43628.85	48180.78	49068.54	51993.65	434347.86
15	포항	남	45˚	65162.56	60390.63	55888.44	47732.07	45780.97	39315.97	40151.56	43473.43	43070.21	50426.19	54123.79	58971.82	440968.87
15	포항	남	60˚	68529.20	61185.13	53690.31	43206.51	39156.89	33440.80	34523.85	38656.77	40253.31	49851.08	56018.26	62434.79	423669.11
15	포항	남	90˚	62954.90	52175.92	40711.74	27969.28	21589.09	18764.29	19796.39	23891.56	28758.83	40585.64	50032.61	58126.81	324576.39
15	포항	남동	30˚	50008.96	50242.37	50830.87	47342.19	49818.69	43196.62	43369.96	44310.04	41229.96	44254.95	43047.43	44361.34	402884.93
15	포항	남동	45˚	54045.36	52367.79	50376.41	44965.68	46074.83	39757.72	40022.53	41540.26	40075.29	45118.36	45715.81	48178.10	400026.35
15	포항	남동	60˚	55184.16	51841.36	47809.69	40903.90	40693.21	35041.87	35403.53	37351.04	37196.87	43619.30	45797.54	49292.53	379433.29
15	포항	남동	90˚	48059.62	42793.68	36402.03	29025.05	27130.36	23591.76	24135.24	26166.73	27285.83	34726.01	39134.01	43430.60	293061.37
15	포항	남서	30˚	50035.99	49901.82	51357.76	49055.99	49930.73	44735.42	44250.87	46341.05	41980.09	43790.56	43342.68	45082.65	408603.70
15	포항	남서	45˚	54063.62	51819.11	51083.97	47221.49	46057.58	41567.58	41174.91	44249.14	41042.79	44520.58	46278.38	49338.19	407504.88
15	포항	남서	60˚	55226.07	51226.01	48605.97	43387.10	40503.17	36957.80	36692.47	40395.20	38286.80	42886.54	46587.96	50767.08	387798.94
15	포항	남서	90˚	48112.67	42140.70	37259.14	31255.12	27043.12	25484.26	25096.84	28804.42	28542.38	33834.05	39947.71	44927.18	300821.36
15	포항	동	30˚	32719.69	36684.50	41759.32	42428.46	47896.32	42463.95	42145.40	40943.57	35986.85	34887.90	30033.49	28092.92	333032.34
15	포항	동	45˚	31563.09	35052.60	39168.85	39106.26	44026.58	39200.64	38822.09	37620.41	33494.92	33045.19	29013.05	27085.38	311932.76
15	포항	동	60˚	30105.79	32999.02	35898.48	35214.04	39256.28	35106.31	34813.80	33803.82	30299.48	30493.17	27478.91	25946.33	285762.77
15	포항	동	90˚	25217.73	26943.09	27694.66	26707.09	28664.56	25869.28	25820.43	25627.73	23038.77	24022.74	22923.77	21973.82	222245.91
15	포항	서	30˚	32790.58	36460.84	42378.79	44662.47	47886.26	45294.97	43388.28	43696.45	37001.27	34278.40	30714.97	29418.66	341761.78
15	포항	서	45˚	31672.34	34812.47	39919.97	41969.05	43863.48	42812.18	40461.91	41233.19	34855.64	32221.51	29848.43	28705.19	323033.12
15	포항	서	60˚	30231.80	32608.03	36719.87	38242.21	39115.59	39233.82	36554.92	37732.78	31920.53	29604.99	28259.98	27272.13	297525.97
15	포항	서	90˚	25255.20	26315.44	28526.06	28970.95	28637.31	30256.96	27156.86	28553.35	24318.18	23243.56	23474.95	22973.83	231892.68
15	포항	북서	30˚	15861.02	22186.90	31869.94	38292.63	44642.76	43792.22	41260.77	39060.89	30771.71	24178.87	17387.58	13681.66	265338.98
15	포항	북서	45˚	11432.11	16729.82	25802.73	32648.10	38410.24	39837.54	36640.53	34201.48	26173.73	19311.14	13334.61	9887.50	222588.28
15	포항	북서	60˚	9910.71	13834.97	21448.58	27357.46	31924.99	34938.74	31389.63	29207.21	22201.45	16292.31	11500.58	8642.31	189134.74
15	포항	북서	90˚	10023.64	12130.87	16719.81	20027.89	22393.24	26174.13	22485.58	21267.93	16784.71	13304.33	10577.13	8992.69	146817.22
15	포항	북동	30˚	15812.20	22218.37	31469.80	36683.73	44621.15	41066.61	40328.50	37019.71	30073.78	24503.32	16912.86	13080.00	258626.38
15	포항	북동	45˚	11405.84	16821.71	25396.07	30661.62	38412.88	36237.03	35361.04	31527.00	25253.09	19637.84	13041.74	9619.78	214535.68
15	포항	북동	60˚	9927.84	14025.74	21055.95	25488.99	31984.44	30777.98	29981.87	26479.89	21274.22	16554.17	11424.58	8707.09	181130.94
15	포항	북동	90˚	10022.64	12364.07	16401.14	19056.38	22344.54	21881.80	21557.18	19768.17	16231.90	13514.30	10612.50	9074.41	140947.81
15	포항	북	30˚	6744.48	13916.46	26297.45	34760.85	43487.11	42082.39	40183.12	36254.45	27495.51	18785.84	9658.61	5671.40	223433.31
15	포항	북	45˚	6228.38	6961.89	15585.81	26452.28	36091.43	37108.03	34722.70	29408.84	20252.85	11142.21	7559.68	6108.03	174096.65
15	포항	북	60˚	7151.89	7752.30	11318.20	17082.90	26985.02	30321.60	27609.96	21241.04	13865.63	10940.01	8107.22	6858.92	138567.39
15	포항	북	90˚	9125.37	9442.16	12045.48	12981.53	14917.05	18008.36	16126.98	14037.99	12628.60	11069.99	9098.98	8424.28	108097.58
16	제주	수평	0˚	25328.12	35948.44	43493.41	46562.58	54632.07	45997.23	49481.51	47381.86	46500.69	36944.86	29284.95	24742.83	355177.54
16	제주	남	30˚	37420.85	49368.91	52290.31	49316.54	52830.27	43709.02	47495.59	48085.09	52785.48	48168.27	42760.24	38386.26	410506.65
16	제주	남	45˚	40539.79	52146.88	52476.92	46838.00	47797.07	39313.41	42837.86	44691.92	51659.62	49910.43	46131.35	42196.29	405896.22
16	제주	남	60˚	41376.69	51988.51	49773.31	41903.86	40334.97	33058.52	36156.90	39090.06	47724.86	48853.71	46897.84	43603.66	379634.38
16	제주	남	90˚	36135.67	43105.31	36620.96	26161.45	21082.77	17810.90	19418.80	23017.33	32629.26	38817.51	40589.08	38997.03	272627.08
16	제주	남동	30˚	33947.63	44891.50	49661.12	48820.66	54122.39	44546.03	48834.32	48356.62	50832.39	46634.85	38738.08	34157.23	396773.18
16	제주	남동	45˚	35709.59	45968.15	49142.33	46552.50	50008.73	40825.10	45201.35	45630.56	49239.17	47862.03	40497.75	36221.39	388886.37
16	제주	남동	60˚	35555.94	44599.88	46335.39	42397.69	43959.81	35633.91	39893.37	41049.68	45584.93	46625.99	40135.51	36389.07	363490.67
16	제주	남동	90˚	29765.73	35459.85	35192.84	30089.43	28853.38	23519.34	26875.70	28588.98	33018.64	37300.85	33390.13	30893.29	272039.90
16	제주	남서	30˚	33423.07	44784.00	49407.27	48538.25	50885.37	43233.78	46392.58	46607.17	49760.62	42139.05	38234.20	34154.49	384965.68
16	제주	남서	45˚	34923.76	45810.98	48724.05	46173.37	45844.79	39255.45	42333.41	43330.79	47737.62	41690.86	39815.90	36221.56	373375.76
16	제주	남서	60˚	34539.86	44399.51	45837.87	42163.30	39486.23	34062.59	36975.21	38605.05	43840.80	39408.46	39324.17	36409.63	346417.05
16	제주	남서	90˚	28640.40	35297.01	34508.67	30238.84	25434.46	22314.16	24534.72	26557.62	31400.43	29835.52	32403.38	30940.89	256632.99
16	제주	동	30˚	25612.82	34481.41	42422.00	45012.62	52975.02	44496.82	48535.61	46036.26	44657.10	38544.84	29294.94	24658.49	348279.84
16	제주	동	45˚	24701.66	32308.09	40202.48	42061.46	48972.05	41089.20	45274.14	43059.59	41651.11	37298.31	28339.58	23657.76	327768.31
16	제주	동	60˚	23143.24	29661.36	37181.24	38178.37	43694.80	36592.21	40843.42	39095.06	37675.86	34898.43	26637.94	22215.40	299430.45
16	제주	동	90˚	18536.05	23322.77	29165.84	28710.10	31569.50	26600.42	30523.41	29288.44	28226.55	27483.23	21231.76	17805.73	228279.37
16	제주	서	30˚	24868.44	34609.92	41863.80	44890.56	48428.89	42608.25	45212.91	43740.74	43149.97	32829.64	28468.32	24741.77	332516.71
16	제주	서	45˚	23733.71	32580.73	39299.52	42132.48	43205.81	38788.01	41245.08	40087.02	39708.00	30110.59	27119.16	23740.02	307890.35
16	제주	서	60˚	22124.81	29824.68	35934.62	38576.42	37555.58	34179.18	36601.00	35855.73	35637.46	27179.55	25426.45	22245.24	278209.66
16	제주	서	90˚	17672.71	22990.99	27661.20	29995.23	26493.44	24343.51	26664.12	26812.04	26506.22	20825.09	20690.39	17801.85	210519.65
16	제주	북서	30˚	16541.38	23885.79	33062.08	39474.33	46051.14	41724.72	43701.54	40115.29	35814.26	24219.00	18809.86	15429.47	276869.14
16	제주	북서	45˚	13665.98	18884.77	27247.98	34003.44	38728.20	36658.51	37931.53	34249.98	29300.13	19050.22	15459.45	12576.96	232281.50
16	제주	북서	60˚	12302.68	15751.41	22659.13	28953.47	31314.55	30724.16	31723.30	28586.13	24001.94	15927.10	13797.73	11474.25	195335.04
16	제주	북서	90˚	10911.22	12943.57	17335.55	22081.01	20979.88	20941.12	22068.31	20684.52	17672.06	13232.47	12077.85	10464.37	147157.12
16	제주	북동	30˚	16980.85	23700.51	33487.96	39391.24	49547.25	43291.60	46372.49	41820.94	36881.89	27924.75	19471.43	15364.78	288268.05
16	제주	북동	45˚	13969.84	18677.72	28022.24	33713.71	43390.75	38718.51	41425.14	36541.99	30650.40	23082.91	15859.50	12545.21	246229.45
16	제주	북동	60˚	12477.00	15789.01	23792.44	28216.56	36314.86	32981.27	35477.69	30981.74	25189.71	19355.90	13755.28	11495.13	209114.75
16	제주	북동	90˚	11006.84	13249.94	18747.81	20441.46	24739.61	22927.70	25184.99	22155.31	18486.76	15183.17	11856.71	10517.46	156863.23
16	제주	북	30˚	12230.40	18094.85	28529.33	36565.39	46771.53	42263.25	44499.57	39357.35	32801.00	20900.41	13745.25	10595.09	253375.11
16	제주	북	45˚	10436.23	11311.98	18961.45	28650.41	39027.83	37074.20	38419.44	32235.42	23373.72	12423.34	10789.83	10002.77	199681.95
16	제주	북	60˚	10646.45	11485.97	12637.50	19468.86	29390.48	30093.21	30446.61	23643.08	14133.20	11180.38	11073.42	10266.04	156940.66
16	제주	북	90˚	10334.71	11594.26	12851.58	13522.20	15024.03	16421.66	16478.92	14315.13	12646.25	11437.83	10990.34	10110.05	113740.13
17	안동	수평	0˚	31407.90	34462.73	45226.30	41790.19	52467.02	49180.49	44023.53	41038.46	42113.45	34566.44	26187.29	29304.50	344691.78
