지역코드	지역명	구분	단위	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월
17	안동	온도등급 2: θe = 2℃	[h]	314.80	359.50	278.50	99.00	1.10	0.00	0.00	0.00	0.00	45.20	213.60	335.40
17	안동	온도등급 3: θe = 7℃	[h]	78.00	132.60	419.30	476.15	211.45	11.75	0.00	0.00	92.40	351.25	386.65	162.30
17	안동	온도등급 4: θe = 20℃	[h]	0.00	5.30	23.00	136.65	401.95	392.05	205.20	245.30	352.40	329.55	63.85	0.00
17	안동	온도등급 5: θe = 27℃	[h]	0.00	0.00	0.00	8.20	129.50	316.20	538.80	498.70	275.20	18.00	0.00	0.00
17	안동	온도등급 1: θe = -7℃	[Kh]	9187.50	4456.80	564.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1355.20	6372.60
17	안동	온도등급 2: θe = 2℃	[Kh]	6034.50	6930.60	5035.60	1698.40	17.60	0.00	0.00	0.00	0.00	766.40	3957.80	6596.50
17	안동	온도등급 3: θe = 7℃	[Kh]	1056.90	1680.20	4964.40	5004.13	1847.48	85.43	0.00	0.00	754.30	3464.68	4282.28	2017.00
18	수원	온도등급 1: θe = -7℃	[h]	396.10	82.80	18.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.60	198.60
18	수원	온도등급 2: θe = 2℃	[h]	298.70	388.70	302.50	18.10	0.00	0.00	0.00	0.00	0.00	10.30	259.80	342.30
18	수원	온도등급 3: θe = 7℃	[h]	49.20	198.10	351.40	437.10	223.70	1.90	0.00	0.00	15.80	358.00	429.75	203.10
18	수원	온도등급 4: θe = 20℃	[h]	0.00	2.40	71.90	242.70	442.00	455.50	98.50	189.60	494.10	357.30	22.85	0.00
18	수원	온도등급 5: θe = 27℃	[h]	0.00	0.00	0.00	22.10	78.30	262.60	645.50	554.40	210.10	18.40	0.00	0.00
18	수원	온도등급 1: θe = -7℃	[Kh]	10340.30	2064.70	427.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	180.00	5077.00
18	수원	온도등급 2: θe = 2℃	[Kh]	5887.60	7447.00	5554.10	306.50	0.00	0.00	0.00	0.00	0.00	171.30	4759.00	6500.70
18	수원	온도등급 3: θe = 7℃	[Kh]	677.90	2540.50	4200.65	4310.10	1725.90	14.25	0.00	0.00	116.40	3286.95	4725.63	2566.80
19	대관	온도등급 1: θe = -7℃	[h]	557.10	396.50	207.70	29.30	0.00	0.00	0.00	0.00	0.00	2.50	133.50	378.10
19	대관	온도등급 2: θe = 2℃	[h]	186.40	230.40	459.10	210.10	51.50	0.00	0.00	0.00	20.40	140.70	366.50	309.80
19	대관	온도등급 3: θe = 7℃	[h]	0.50	45.10	77.20	380.70	423.20	264.70	22.10	45.95	258.60	483.85	218.55	56.10
