지역코드	지역명	시간	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월
04	인천	23	0.59	0.64	0.64	0.71	0.73	0.76	0.88	0.87	0.82	0.72	0.71	0.65	
05	원주	1	0.69	0.67	0.65	0.64	0.68	0.72	0.82	0.84	0.88	0.84	0.74	0.73	
05	원주	2	0.71	0.69	0.67	0.67	0.71	0.75	0.83	0.84	0.90	0.86	0.77	0.75	
05	원주	3	0.71	0.71	0.68	0.69	0.74	0.77	0.84	0.85	0.91	0.86	0.78	0.76	
05	원주	4	0.73	0.72	0.70	0.72	0.76	0.79	0.87	0.85	0.92	0.87	0.79	0.76	
05	원주	5	0.74	0.75	0.72	0.75	0.78	0.81	0.87	0.85	0.93	0.87	0.80	0.76	
05	원주	6	0.75	0.76	0.73	0.76	0.78	0.83	0.87	0.85	0.93	0.87	0.81	0.76	
05	원주	7	0.76	0.78	0.74	0.75	0.75	0.78	0.85	0.84	0.92	0.87	0.82	0.77	
05	원주	8	0.78	0.77	0.70	0.69	0.70	0.74	0.82	0.81	0.89	0.84	0.80	0.77	
05	원주	9	0.73	0.72	0.63	0.60	0.62	0.67	0.79	0.77	0.83	0.77	0.74	0.72	
05	원주	10	0.65	0.64	0.57	0.51	0.54	0.59	0.74	0.74	0.76	0.69	0.66	0.65	
05	원주	11	0.56	0.57	0.48	0.44	0.49	0.54	0.69	0.71	0.70	0.62	0.59	0.59	
05	원주	12	0.48	0.52	0.43	0.37	0.45	0.51	0.66	0.68	0.65	0.56	0.53	0.54	
05	원주	13	0.43	0.46	0.39	0.34	0.42	0.49	0.64	0.66	0.61	0.52	0.50	0.50	
05	원주	14	0.42	0.42	0.36	0.33	0.41	0.47	0.63	0.64	0.59	0.50	0.48	0.48	
05	원주	15	0.41	0.41	0.36	0.33	0.38	0.45	0.63	0.65	0.59	0.48	0.47	0.46	
05	원주	16	0.40	0.40	0.35	0.34	0.38	0.45	0.63	0.67	0.58	0.49	0.47	0.48	
