방위,γF,Dclass,Etask,"FD,SNA"
서,30,Strong,750,0.83
서,30,Strong,1000,0.76
서,45,None,100,0
서,45,None,300,0
서,45,None,500,0
서,45,None,750,0
서,45,None,1000,0
서,45,Low,100,0.95
서,45,Low,300,0.78
서,45,Low,500,0.6
서,45,Low,750,0.43
서,45,Low,1000,0.33
서,45,Medium,100,0.97
서,45,Medium,300,0.9
서,45,Medium,500,0.8
서,45,Medium,750,0.67
서,45,Medium,1000,0.56
서,45,Strong,100,0.98
서,45,Strong,300,0.94
서,45,Strong,500,0.89
서,45,Strong,750,0.81
서,45,Strong,1000,0.73
서,60,None,100,0
서,60,None,300,0
서,60,None,500,0
서,60,None,750,0
서,60,None,1000,0
서,60,Low,100,0.94
서,60,Low,300,0.75
서,60,Low,500,0.56
서,60,Low,750,0.39
서,60,Low,1000,0.29
서,60,Medium,100,0.97
서,60,Medium,300,0.89
서,60,Medium,500,0.78
서,60,Medium,750,0.64
서,60,Medium,1000,0.52
서,60,Strong,100,0.98
서,60,Strong,300,0.94
서,60,Strong,500,0.88
서,60,Strong,750,0.79
서,60,Strong,1000,0.59
서,90,None,100,0
서,90,None,300,0
서,90,None,500,0
서,90,None,750,0
서,90,None,1000,0
서,90,Low,100,0.92
서,90,Low,300,0.66
서,90,Low,500,0.45
서,90,Low,750,0.3
서,90,Low,1000,0.23
서,90,Medium,100,0.96
서,90,Medium,300,0.84
서,90,Medium,500,0.7
서,90,Medium,750,0.53
서,90,Medium,1000,0.41
서,90,Strong,100,0.97
서,90,Strong,300,0.91
서,90,Strong,500,0.83
서,90,Strong,750,0.71
서,90,Strong,1000,0.6
북동,30,None,100,0
북동,30,None,300,0
북동,30,None,500,0
북동,30,None,750,0
북동,30,None,1000,0
북동,30,Low,100,0.95
북동,30,Low,300,0.79
북동,30,Low,500,0.63
북동,30,Low,750,0.47
북동,30,Low,1000,0.35
북동,30,Medium,100,0.97
북동,30,Medium,300,0.91
북동,30,Medium,500,0.82
북동,30,Medium,750,0.7
북동,30,Medium,1000,0.59
북동,30,Strong,100,0.98
북동,30,Strong,300,0.95
북동,30,Strong,500,0.9
북동,30,Strong,750,0.83
북동,30,Strong,1000,0.75
북동,45,None,100,0
북동,45,None,300,0
북동,45,None,500,0
북동,45,None,750,0
북동,45,None,1000,0
북동,45,Low,100,0.95
북동,45,Low,300,0.78
북동,45,Low,500,0.59
북동,45,Low,750,0.42
북동,45,Low,1000,0.32
북동,45,Medium,100,0.97
북동,45,Medium,300,0.91
북동,45,Medium,500,0.8
북동,45,Medium,750,0.67
북동,45,Medium,1000,0.55
북동,45,Strong,100,0.98
북동,45,Strong,300,0.95
북동,45,Strong,500,0.9
북동,45,Strong,750,0.81
북동,45,Strong,1000,0.72
북동,60,None,100,0
북동,60,None,300,0
북동,60,None,500,0
북동,60,None,750,0
북동,60,None,1000,0
북동,60,Low,100,0.95
북동,60,Low,300,0.75
북동,60,Low,500,0.55
북동,60,Low,750,0.38
북동,60,Low,1000,0.29
북동,60,Medium,100,0.97
북동,60,Medium,300,0.9
북동,60,Medium,500,0.78
북동,60,Medium,750,0.63
북동,60,Medium,1000,0.51
북동,60,Strong,100,0.98
북동,60,Strong,300,0.94
북동,60,Strong,500,0.88
북동,60,Strong,750,0.79
북동,60,Strong,1000,0.69
북동,90,None,100,0
북동,90,None,300,0
북동,90,None,500,0
북동,90,None,750,0
북동,90,None,1000,0
북동,90,Low,100,0.93
북동,90,Low,300,0.67
북동,90,Low,500,0.45
북동,90,Low,750,0.3
북동,90,Low,1000,0.23
북동,90,Medium,100,0.96
북동,90,Medium,300,0.85
북동,90,Medium,500,0.71
북동,90,Medium,750,0.54
북동,90,Medium,1000,0.42
북동,90,Strong,100,0.97
북동,90,Strong,300,0.92
북동,90,Strong,500,0.83
북동,90,Strong,750,0.72
북동,90,Strong,1000,0.61
북서,30,None,100,0
북서,30,None,300,0
북서,30,None,500,0
북서,30,None,750,0
북서,30,None,1000,0
북서,30,Low,100,0.95
북서,30,Low,300,0.79
북서,30,Low,500,0.63
북서,30,Low,750,0.47
북서,30,Low,1000,0.35
북서,30,Medium,100,0.97
북서,30,Medium,300,0.91
북서,30,Medium,500,0.82
북서,30,Medium,750,0.7
북서,30,Medium,1000,0.59
북서,30,Strong,100,0.98
북서,30,Strong,300,0.95
북서,30,Strong,500,0.9
북서,30,Strong,750,0.83
북서,30,Strong,1000,0.75
북서,45,None,100,0
북서,45,None,300,0
북서,45,None,500,0
북서,45,None,750,0
북서,45,None,1000,0
북서,45,Low,100,0.95
북서,45,Low,300,0.78
북서,45,Low,500,0.59
북서,45,Low,750,0.42
북서,45,Low,1000,0.32
북서,45,Medium,100,0.97
북서,45,Medium,300,0.91
북서,45,Medium,500,0.8
북서,45,Medium,750,0.67
북서,45,Medium,1000,0.55
북서,45,Strong,100,0.98
북서,45,Strong,300,0.95
북서,45,Strong,500,0.9
북서,45,Strong,750,0.81
북서,45,Strong,1000,0.72
북서,60,None,100,0
북서,60,None,300,0
북서,60,None,500,0
북서,60,None,750,0
북서,60,None,1000,0
북서,60,Low,100,0.95
북서,60,Low,300,0.75
북서,60,Low,500,0.55
북서,60,Low,750,0.38
북서,60,Low,1000,0.29
북서,60,Medium,100,0.97
북서,60,Medium,300,0.9
북서,60,Medium,500,0.78
북서,60,Medium,750,0.63
북서,60,Medium,1000,0.51
북서,60,Strong,100,0.98
북서,60,Strong,300,0.94
북서,60,Strong,500,0.88
북서,60,Strong,750,0.79
북서,60,Strong,1000,0.69
북서,90,None,100,0
북서,90,None,300,0
북서,90,None,500,0
북서,90,None,750,0
북서,90,None,1000,0
북서,90,Low,100,0.93
북서,90,Low,300,0.67
북서,90,Low,500,0.45
북서,90,Low,750,0.3
북서,90,Low,1000,0.23
북서,90,Medium,100,0.96
북서,90,Medium,300,0.85
북서,90,Medium,500,0.71
북서,90,Medium,750,0.54
북서,90,Medium,1000,0.42
북서,90,Strong,100,0.97
북서,90,Strong,300,0.92
북서,90,Strong,500,0.83
북서,90,Strong,750,0.72
북서,90,Strong,1000,0.61
북,30,None,100,0
북,30,None,300,0
북,30,None,500,0
북,30,None,750,0
북,30,None,1000,0
북,30,Low,100,0.95
북,30,Low,300,0.79
북,30,Low,500,0.62
북,30,Low,750,0.46
북,30,Low,1000,0.35
북,30,Medium,100,0.97
북,30,Medium,300,0.91
북,30,Medium,500,0.81
북,30,Medium,750,0.69
북,30,Medium,1000,0.58
북,30,Strong,100,0.98
북,30,Strong,300,0.95
북,30,Strong,500,0.9
북,30,Strong,750,0.82
북,30,Strong,1000,0.74
북,45,None,100,0
북,45,None,300,0
북,45,None,500,0
북,45,None,750,0
북,45,None,1000,0
북,45,Low,100,0.95
북,45,Low,300,0.76
북,45,Low,500,0.57
북,45,Low,750,0.41
북,45,Low,1000,0.31
북,45,Medium,100,0.97
북,45,Medium,300,0.9
북,45,Medium,500,0.79
북,45,Medium,750,0.65
북,45,Medium,1000,0.54
북,45,Strong,100,0.98
북,45,Strong,300,0.94
북,45,Strong,500,0.89
북,45,Strong,750,0.8
북,45,Strong,1000,0.71
북,60,None,100,0
북,60,None,300,0
북,60,None,500,0
북,60,None,750,0
북,60,None,1000,0
북,60,Low,100,0.95
북,60,Low,300,0.75
북,60,Low,500,0.55
북,60,Low,750,0.38
