방위,γF,Dclass,Etask,"FD,SA"
동,90,Strong,500,0.97
동,90,Strong,750,0.92
동,90,Strong,1000,0.87
서,30,None,100,0
서,30,None,300,0
서,30,None,500,0
서,30,None,750,0
서,30,None,1000,0
서,30,Low,100,0.99
서,30,Low,300,0.91
서,30,Low,500,0.81
서,30,Low,750,0.68
서,30,Low,1000,0.54
서,30,Medium,100,1
서,30,Medium,300,0.98
서,30,Medium,500,0.94
서,30,Medium,750,0.87
서,30,Medium,1000,0.81
서,30,Strong,100,1
서,30,Strong,300,0.99
서,30,Strong,500,0.97
서,30,Strong,750,0.94
서,30,Strong,1000,0.89
서,45,None,100,0
서,45,None,300,0
서,45,None,500,0
서,45,None,750,0
서,45,None,1000,0
서,45,Low,100,0.99
서,45,Low,300,0.91
서,45,Low,500,0.81
서,45,Low,750,0.68
서,45,Low,1000,0.54
서,45,Medium,100,1
서,45,Medium,300,0.98
서,45,Medium,500,0.94
서,45,Medium,750,0.87
서,45,Medium,1000,0.81
서,45,Strong,100,1
서,45,Strong,300,0.99
서,45,Strong,500,0.98
서,45,Strong,750,0.94
서,45,Strong,1000,0.9
서,60,None,100,0
서,60,None,300,0
서,60,None,500,0
서,60,None,750,0
서,60,None,1000,0
서,60,Low,100,0.99
서,60,Low,300,0.92
서,60,Low,500,0.81
서,60,Low,750,0.67
서,60,Low,1000,0.53
서,60,Medium,100,1
서,60,Medium,300,0.98
서,60,Medium,500,0.95
서,60,Medium,750,0.88
서,60,Medium,1000,0.81
서,60,Strong,100,1
서,60,Strong,300,0.99
서,60,Strong,500,0.98
서,60,Strong,750,0.95
서,60,Strong,1000,0.9
서,90,None,100,0
서,90,None,300,0
서,90,None,500,0
서,90,None,750,0
서,90,None,1000,0
서,90,Low,100,0.99
서,90,Low,300,0.89
서,90,Low,500,0.75
서,90,Low,750,0.58
서,90,Low,1000,0.44
서,90,Medium,100,0.99
서,90,Medium,300,0.98
서,90,Medium,500,0.92
서,90,Medium,750,0.84
서,90,Medium,1000,0.75
서,90,Strong,100,0.99
서,90,Strong,300,0.99
서,90,Strong,500,0.97
서,90,Strong,750,0.92
서,90,Strong,1000,0.87
북동,30,None,100,0
북동,30,None,300,0
북동,30,None,500,0
북동,30,None,750,0
북동,30,None,1000,0
북동,30,Low,100,0.98
북동,30,Low,300,0.87
북동,30,Low,500,0.75
북동,30,Low,750,0.57
북동,30,Low,1000,0.43
북동,30,Medium,100,0.99
북동,30,Medium,300,0.96
북동,30,Medium,500,0.9
북동,30,Medium,750,0.83
북동,30,Medium,1000,0.75
북동,30,Strong,100,1
북동,30,Strong,300,0.98
북동,30,Strong,500,0.95
북동,30,Strong,750,0.9
북동,30,Strong,1000,0.85
북동,45,None,100,0
북동,45,None,300,0
북동,45,None,500,0
북동,45,None,750,0
북동,45,None,1000,0
북동,45,Low,100,0.98
북동,45,Low,300,0.86
북동,45,Low,500,0.71
북동,45,Low,750,0.52
북동,45,Low,1000,0.39
북동,45,Medium,100,0.99
북동,45,Medium,300,0.96
북동,45,Medium,500,0.9
북동,45,Medium,750,0.81
북동,45,Medium,1000,0.71
북동,45,Strong,100,0.99
북동,45,Strong,300,0.98
북동,45,Strong,500,0.95
북동,45,Strong,750,0.9
북동,45,Strong,1000,0.84
북동,60,None,100,0
북동,60,None,300,0
북동,60,None,500,0
북동,60,None,750,0
북동,60,None,1000,0
북동,60,Low,100,0.97
북동,60,Low,300,0.85
북동,60,Low,500,0.68
북동,60,Low,750,0.49
북동,60,Low,1000,0.36
북동,60,Medium,100,0.99
북동,60,Medium,300,0.95
북동,60,Medium,500,0.89
북동,60,Medium,750,0.79
북동,60,Medium,1000,0.68
북동,60,Strong,100,0.99
북동,60,Strong,300,0.97
북동,60,Strong,500,0.95
북동,60,Strong,750,0.89
북동,60,Strong,1000,0.83
북동,90,None,100,0
북동,90,None,300,0
북동,90,None,500,0
북동,90,None,750,0
북동,90,None,1000,0
북동,90,Low,100,0.96
북동,90,Low,300,0.8
북동,90,Low,500,0.57
북동,90,Low,750,0.38
북동,90,Low,1000,0.29
북동,90,Medium,100,0.98
북동,90,Medium,300,0.94
북동,90,Medium,500,0.85
북동,90,Medium,750,0.71
북동,90,Medium,1000,0.57
북동,90,Strong,100,0.99
북동,90,Strong,300,0.96
북동,90,Strong,500,0.93
북동,90,Strong,750,0.85
북동,90,Strong,1000,0.76
북서,30,None,100,0
북서,30,None,300,0
북서,30,None,500,0
북서,30,None,750,0
북서,30,None,1000,0
북서,30,Low,100,0.98
북서,30,Low,300,0.87
북서,30,Low,500,0.75
북서,30,Low,750,0.57
북서,30,Low,1000,0.43
북서,30,Medium,100,0.99
북서,30,Medium,300,0.96
북서,30,Medium,500,0.9
북서,30,Medium,750,0.83
북서,30,Medium,1000,0.75
북서,30,Strong,100,1
북서,30,Strong,300,0.98
북서,30,Strong,500,0.95
북서,30,Strong,750,0.9
북서,30,Strong,1000,0.85
북서,45,None,100,0
북서,45,None,300,0
북서,45,None,500,0
북서,45,None,750,0
북서,45,None,1000,0
북서,45,Low,100,0.98
북서,45,Low,300,0.86
북서,45,Low,500,0.71
북서,45,Low,750,0.52
북서,45,Low,1000,0.39
북서,45,Medium,100,0.99
북서,45,Medium,300,0.96
북서,45,Medium,500,0.9
북서,45,Medium,750,0.81
북서,45,Medium,1000,0.71
북서,45,Strong,100,0.99
북서,45,Strong,300,0.98
북서,45,Strong,500,0.95
북서,45,Strong,750,0.9
북서,45,Strong,1000,0.84
북서,60,None,100,0
북서,60,None,300,0
북서,60,None,500,0
북서,60,None,750,0
북서,60,None,1000,0
북서,60,Low,100,0.97
북서,60,Low,300,0.85
북서,60,Low,500,0.68
북서,60,Low,750,0.49
북서,60,Low,1000,0.36
북서,60,Medium,100,0.99
북서,60,Medium,300,0.95
북서,60,Medium,500,0.89
북서,60,Medium,750,0.79
북서,60,Medium,1000,0.68
북서,60,Strong,100,0.99
북서,60,Strong,300,0.97
북서,60,Strong,500,0.95
북서,60,Strong,750,0.89
북서,60,Strong,1000,0.83
북서,90,None,100,0
북서,90,None,300,0
북서,90,None,500,0
북서,90,None,750,0
북서,90,None,1000,0
북서,90,Low,100,0.96
북서,90,Low,300,0.8
북서,90,Low,500,0.57
북서,90,Low,750,0.38
북서,90,Low,1000,0.29
북서,90,Medium,100,0.98
북서,90,Medium,300,0.94
북서,90,Medium,500,0.85
북서,90,Medium,750,0.71
북서,90,Medium,1000,0.57
북서,90,Strong,100,0.99
북서,90,Strong,300,0.96
북서,90,Strong,500,0.93
북서,90,Strong,750,0.85
북서,90,Strong,1000,0.76
북,30,None,100,0
북,30,None,300,0
북,30,None,500,0
북,30,None,750,0
북,30,None,1000,0
북,30,Low,100,0.99
북,30,Low,300,0.91
북,30,Low,500,0.75
북,30,Low,750,0.52
북,30,Low,1000,0.39
북,30,Medium,100,1
북,30,Medium,300,0.98
북,30,Medium,500,0.93
북,30,Medium,750,0.86
북,30,Medium,1000,0.75
북,30,Strong,100,1
북,30,Strong,300,0.99
북,30,Strong,500,0.97
북,30,Strong,750,0.93
북,30,Strong,1000,0.89
북,45,None,100,0
북,45,None,300,0
북,45,None,500,0
북,45,None,750,0
북,45,None,1000,0
북,45,Low,100,0.99
북,45,Low,300,0.84
북,45,Low,500,0.58
북,45,Low,750,0.38
북,45,Low,1000,0.29
북,45,Medium,100,1
북,45,Medium,300,0.98
북,45,Medium,500,0.9
북,45,Medium,750,0.74
북,45,Medium,1000,0.58
북,45,Strong,100,1
북,45,Strong,300,0.99
북,45,Strong,500,0.97
북,45,Strong,750,0.9
북,45,Strong,1000,0.8
북,60,None,100,0
북,60,None,300,0
북,60,None,500,0
북,60,None,750,0
북,60,None,1000,0
북,60,Low,100,0.99
북,60,Low,300,0.68
북,60,Low,500,0.41
북,60,Low,750,0.27
북,60,Low,1000,0.2
북,60,Medium,100,0.99
북,60,Medium,300,0.97
북,60,Medium,500,0.79
북,60,Medium,750,0.54
북,60,Medium,1000,0.41
북,60,Strong,100,0.99
북,60,Strong,300,0.99
북,60,Strong,500,0.95
북,60,Strong,750,0.79
북,60,Strong,1000,0.61
북,90,None,100,0
북,90,None,300,0
북,90,None,500,0
북,90,None,750,0
북,90,None,1000,0
북,90,Low,100,0
북,90,Low,300,0
북,90,Low,500,0
북,90,Low,750,0
북,90,Low,1000,0
북,90,Medium,100,0
북,90,Medium,300,0
북,90,Medium,500,0
북,90,Medium,750,0
북,90,Medium,1000,0
북,90,Strong,100,0
북,90,Strong,300,0
북,90,Strong,500,0
북,90,Strong,750,0
북,90,Strong,1000,0
